Titles,Genre,Imdb_ratings,Tv-Ratings,runtime,Director,Years
The Pizzagate Massacre,"Comedy, Crime, Mystery & Thriller, Action & Adventure",4.9,R,1h 31min,John Valley,2020
Suspiria,"Fantasy, Horror, Mystery & Thriller, Drama, Made in Europe",6.7,R,2h 32min,Luca Guadagnino,2018
RoboCop,"Action & Adventure, Science-Fiction, Crime, Mystery & Thriller",6.1,PG-13,1h 57min,José Padilha,2014
Look Away,"Fantasy, Horror, Mystery & Thriller, Drama",5.8,R,1h 43min,Assaf Bernstein,2018
Whelm,"Mystery & Thriller, Crime, History",5.3,N/A,1h 54min,Skyler Lawson,2019
The Visitor,"Horror, Mystery & Thriller, Drama",4.2,N/A,1h 29min,Justin P. Lange,2022
Bring Him Back Dead,"Crime, Action & Adventure",3.7,N/A,1h 25min,Mark Savage,2022
Ismael's Ghosts,"Drama, Romance, Mystery & Thriller, Made in Europe",5.5,R,2h 15min,Arnaud Desplechin,2017
Rebel Dread,"Music & Musical, Documentary",6.8,R,1h 26min,William E. Badgley,2022
Manhattan Undying,"Drama, Romance, Mystery & Thriller",4.7,N/A,1h 28min,Babak Payami,2016
Rite of the Shaman,Drama,6.2,N/A,1h 8min,Alicia Oberle Farmer,2022
Mascarpone,"Comedy, Drama, Romance",6.8,N/A,1h 41min,Alessandro Guida,2021
The Death & Life of John F. Donovan,Drama,6.1,R,2h 3min,Xavier Dolan,2019
The Surface,"Mystery & Thriller, Drama",4.8,N/A,1h 26min,Gil Cates Jr.,2014
London,"Drama, Romance, Action & Adventure",6.4,R,1h 32min,Hunter Richards,2021
Diving Deep: The Life and Times of Mike deGruy,Documentary,7.3,N/A,1h 23min,Mimi Armstrong DeGruy,2020
The Offering,"Mystery & Thriller, Horror, Drama",3.8,PG-13,1h 35min,Guille Isa,2016
Collision,"Mystery & Thriller, Horror",N/A,N/A,1h 27min,Lee Yoon-ho,2017
Intruders,"Horror, Drama, Mystery & Thriller",5.7,R,1h 30min,Adam Schindler,2016
Philomena,"Drama, Comedy, Made in Europe",7.6,PG-13,1h 38min,Stephen Frears,2013
Above the Best,"Documentary, Action & Adventure",4.5,N/A,1h 20min,David Salzberg,2019
Gotti,"History, Mystery & Thriller, Crime, Drama",4.7,R,1h 52min,Kevin Connolly,2018
The Panama Papers,Documentary,7.1,PG-13,1h 36min,Alex Winter,2018
The Secret: Dare to Dream,"Drama, Romance",6.5,PG,1h 47min,Andy Tennant,2020
Before They Vanish,Drama,8.5,N/A,1h 28min,N/A,2022
Transpecos,Mystery & Thriller,5.8,N/A,1h 26min,Greg Kwedar,2016
Boy & the World,"Animation, Kids & Family",7.5,PG,1h 20min,Alê Abreu,2014
Ten-Cent Daisy,Drama,6.2,N/A,1h 30min,Lisbon Okafor,2022
Les Misérables,"Mystery & Thriller, Drama, Crime, Made in Europe",7.6,R,1h 42min,Ladj Ly,2019
Valiant,"Documentary, Sport",7.7,N/A,1h 34min,Cruz Angeles,2019
You Were Never Really Here,"Mystery & Thriller, Drama, Crime",6.7,R,1h 29min,Lynne Ramsay,2017
Unacknowledged,Documentary,7.0,N/A,1h 40min,Michael Mazzola,2017
The Lie,"Drama, Mystery & Thriller, Horror, Crime",5.8,R,1h 35min,Veena Sud,2018
Wrecker,Action & Adventure,6.3,N/A,2h 7min,Bryan Brooks,2022
Sachertorte,"Comedy, Drama, Romance",6.8,N/A,1h 52min,Tine Rogoll,2022
3 Demons,Horror,3.8,N/A,1h 37min,Matt Cunningham,2022
Accidental Family,"Romance, Comedy",5.0,N/A,1h 37min,Jason Hudson,2021
Broadcast,"Science-Fiction, Fantasy",3.6,N/A,1h 28min,Davidson Cole,2022
First to the Moon,Documentary,7.9,N/A,2h 1min,N/A,2018
Furie,"Mystery & Thriller, Action & Adventure, Drama, Made in Europe",6.3,R,1h 38min,Lê Văn Kiệt,2019
12 Pups of Christmas,"Romance, Animation, Drama, Kids & Family, Fantasy",3.9,PG,1h 30min,Michael Feifer,2019
The Silent Mountain,"Drama, Made in Europe, History, Romance, War & Military",5.5,N/A,1h 35min,Ernst Gossner,2014
Control,"Mystery & Thriller, Science-Fiction",4.3,R,1h 29min,James Mark,2022
Behemoth,"Horror, Mystery & Thriller",4.6,N/A,1h 28min,Peter Szewczyk,2021
HIT: The First Case,"Drama, Mystery & Thriller, Action & Adventure, Crime",7.6,N/A,2h 6min,Sailesh Kolanu,2020
Are You Happy Now,"Comedy, Romance",3.9,N/A,1h 32min,David Beinstein,2021
Teenage Mutant Ninja Turtles,"Science-Fiction, Action & Adventure, Comedy, Animation, Crime",5.8,PG-13,1h 41min,Jonathan Liebesman,2014
About Fate,"Comedy, Romance",6.3,R,1h 40min,Marius Weisberg,2022
Dawn Patrol,"Drama, Mystery & Thriller",4.7,N/A,1h 26min,Daniel Petrie Jr.,2015
Getting Away with Murder(s),"History, Documentary",8.2,N/A,2h 55min,David Wilkinson,2021
Hotel Coolgardie,Documentary,6.8,R,1h 24min,Pete Gleeson,2016
Balloon Man,"Documentary, Sport",6.6,N/A,1h 40min,Chantal Potter,2021
A Tale of Love and Desire,"Romance, Drama",6.7,R,1h 42min,Leyla Bouzid,2021
By the Gun,"Mystery & Thriller, Drama, Crime, Comedy",4.8,R,1h 45min,James Mottern,2014
A Bad Idea Gone Wrong,Comedy,5.8,PG-13,1h 25min,Jason Headley,2017
This Mountain Life,Documentary,7.3,PG,1h 17min,Grant Baldwin,2018
Life in a Year,"Drama, Romance",6.1,PG-13,1h 47min,Mitja Okorn,2020
The Day After Halloween,"Horror, Comedy",4.2,N/A,1h 24min,Chad Ostrom,2022
Panic,"Drama, Mystery & Thriller",6.2,N/A,1h 25min,Sean Spencer,2016
223 Wick,"Fantasy, Mystery & Thriller",6.8,N/A,1h 14min,N/A,2022
Shamshera,"Drama, Action & Adventure, Fantasy",4.7,PG-13,2h 38min,Karan Malhotra,2022
Darling Nikki,Drama,3.1,N/A,1h 2min,Gregory Hatanaka,2019
Fan,"Drama, Mystery & Thriller, Horror, Action & Adventure",6.9,N/A,2h 23min,Maneesh Sharma,2016
Torrente 5,"Action & Adventure, Made in Europe, Comedy",5.3,R,1h 45min,Santiago Segura,2014
Anything's Possible,"Comedy, Drama, Romance",5.5,PG-13,1h 36min,Billy Porter,2022
28 Heroes,Documentary,7.6,N/A,44min,N/A,2013
Bloody Summer Camp,"Horror, Comedy",4.0,N/A,2h 5min,Dave Kerr,2021
50K,"Crime, Mystery & Thriller",5.4,N/A,1h 26min,N/A,2020
Only the Animals,"Crime, Drama, Mystery & Thriller",7.1,N/A,1h 56min,Dominik Moll,2019
Mr. Jones,"Mystery & Thriller, Drama, Made in Europe",6.9,N/A,1h 59min,Agnieszka Holland,2019
Avengement,"Crime, Action & Adventure, Mystery & Thriller",6.6,N/A,1h 30min,Jesse V. Johnson,2019
Sometimes Always Never,"Drama, Comedy",6.3,PG-13,1h 31min,Carl Hunter,2019
Lobster War: The Fight Over the World's Richest Fishing Grounds,Documentary,6.2,N/A,1h 14min,N/A,2018
Yashoda,"Mystery & Thriller, Drama, Action & Adventure, Science-Fiction",6.6,N/A,2h 15min,Hareesh Narayan,2022
Christmas at the Holly Hotel,"Comedy, Drama, Romance",4.2,N/A,1h 25min,Joel Paul Reisig,2022
Angel Falls Christmas,"Comedy, Romance, Drama",5.0,G,1h 25min,Jerry Ciccoritti,2021
1/1,Drama,6.6,N/A,1h 25min,Jeremy Phillips,2018
War,"Mystery & Thriller, Action & Adventure, Drama, Crime",6.5,N/A,2h 36min,Siddharth Anand,2019
Shadow Master,"Mystery & Thriller, Action & Adventure",3.9,R,1h 30min,Pearry Reginald Teo,2022
Beautiful Boy,Drama,7.3,R,2h 0min,Felix van Groeningen,2018
MONTAUK77,Drama,8.4,N/A,1h 34min,N/A,2021
Bobbi Jo: Under the Influence,Documentary,8.5,N/A,1h 42min,Brent L. Jones,2021
Transformers: Age of Extinction,"Science-Fiction, Action & Adventure",5.6,PG-13,2h 46min,Michael Bay,2014
Gully,"Drama, Crime",2.9,R,1h 21min,Nabil Elderkin,2021
The Road Ahead,Drama,4.7,N/A,1h 40min,Cat Hostick,2020
You're Not You,Drama,7.3,R,1h 44min,George C. Wolfe,2014
Sacrilege,Horror,N/A,R,1h 23min,David Creed,2020
Hanna Ranch,"Documentary, Drama, Kids & Family",7.5,N/A,1h 13min,Mitch Dickman,2014
Fire Will Come,"Drama, Crime",6.7,N/A,1h 25min,Oliver Laxe,2019
Hurt,"Horror, Drama, Mystery & Thriller",3.7,N/A,1h 33min,Sonny Mallhi,2018
Hell House LLC,"Horror, Mystery & Thriller",6.4,R,1h 33min,Stephen Cognetti,2015
Lost Transmissions,Drama,5.1,N/A,1h 45min,Katharine O'Brien,2020
JugJugg Jeeyo,"Drama, Comedy, Kids & Family, Romance",6.1,N/A,2h 28min,Raj Mehta,2022
The Hustle,"Comedy, Crime",5.4,PG-13,1h 34min,Chris Addison,2019
Alienate,"Drama, Horror, Mystery & Thriller, Science-Fiction",2.7,N/A,1h 30min,Michael Shumway,2016
Dawn,"Horror, Mystery & Thriller, Comedy",5.2,N/A,1h 17min,Nicholas Ryan,2022
Breakdown Lane,"Drama, Horror, Mystery & Thriller, Action & Adventure",2.8,N/A,1h 16min,Robert Conway,2017
Teen Lust,"Horror, Romance, Mystery & Thriller, Comedy",4.7,R,1h 20min,Blaine Thurier,2014
Like Blood,"Crime, Drama, Mystery & Thriller, Made in Europe",5.4,N/A,1h 21min,Zaahir Abdullah,2019
Fear,"Mystery & Thriller, Action & Adventure, Horror",3.9,N/A,1h 41min,Geoff Reisner,2021
Mosley: It's Complicated,"Documentary, Sport",6.7,N/A,1h 36min,Michael Shevloff,2021
The Rest I Make Up,Documentary,8.8,N/A,1h 19min,Michelle Memran,2018
Bridge of the Doomed,"Horror, Action & Adventure, Mystery & Thriller, Comedy",4.5,N/A,1h 22min,Michael Su,2022
Beyond Glory,"War & Military, Documentary",7.3,N/A,1h 18min,Larry Brand,2015
"2025: Blood, White & Blue","Horror, Action & Adventure, Comedy",2.1,N/A,2h 15min,Josh E. Williams,2022
Trump vs the Illuminati,"Comedy, Animation",2.2,N/A,1h 9min,B.C. Furtney,2020
What Have We Done to Deserve This?,"Comedy, Made in Europe",5.6,N/A,1h 30min,Eva Spreitzhofer,2018
Blackfish,"Documentary, Drama",8.1,PG-13,1h 23min,Gabriela Cowperthwaite,2013
Conception,Drama,7.8,N/A,1h 44min,Tarun Verma,2022
Anabolic Life,"Mystery & Thriller, Sport, Drama",6.0,PG-13,1h 29min,N/A,2017
Elevator,"Mystery & Thriller, Horror",5.3,N/A,1h 24min,Stig Svendsen,2013
4:4:44,Drama,5.3,N/A,1h 51min,N/A,2022
Reunion,"Horror, Mystery & Thriller",4.4,N/A,1h 35min,Jake Mahaffy,2020
The Green Ghost,"Comedy, Drama, Fantasy, Action & Adventure",7.2,PG-13,1h 35min,N/A,2018
Floating!,"Drama, Made in Europe, Comedy",4.3,N/A,1h 26min,Julia C. Kaiser,2015
Detour,"Mystery & Thriller, Horror, Romance",5.2,N/A,1h 27min,William Dickerson,2013
1UP,"Sport, Comedy",3.3,R,1h 40min,Kyle Newman,2022
Alcatraz,"Action & Adventure, Crime, Documentary, Mystery & Thriller, Drama",3.0,N/A,1h 28min,Andrew Jones,2018
Big Sur,"Drama, Romance",5.7,R,1h 40min,Michael Polish,2013
Shock and Awe,"Drama, Mystery & Thriller, War & Military, History",6.4,R,1h 30min,Rob Reiner,2018
Ideal Home,"Comedy, Drama",6.4,N/A,1h 31min,Andrew Fleming,2018
Amazon Queen,"Mystery & Thriller, Action & Adventure, Drama",4.6,N/A,1h 28min,Marlin Darrah,2021
Savage,"Crime, Drama",6.2,N/A,1h 41min,Sam Kelly,2019
Jawaani Jaaneman,"Comedy, Drama",6.5,N/A,2h 10min,Nitin Kakkar,2020
The Glorias,"Drama, History",5.9,R,2h 27min,Julie Taymor,2020
Eye Without a Face,"Mystery & Thriller, Horror",N/A,N/A,1h 34min,Ramin Niami,2021
Odd Thomas,"Mystery & Thriller, Fantasy, Horror, Romance, Comedy",6.8,PG-13,1h 40min,Stephen Sommers,2013
Delusional,Mystery & Thriller,4.1,R,1h 53min,N/A,2022
Andrea Hubert: Week,Comedy,N/A,N/A,49min,N/A,2018
White Sky,"Horror, Action & Adventure, Science-Fiction",3.0,N/A,1h 45min,Adam Wilson,2021
Fences,Drama,7.2,PG-13,2h 19min,Denzel Washington,2016
Kendra Cunningham: Meatball Therapy,Comedy,N/A,N/A,57min,Tanya Moberly,2022
Alone Across the Arctic,Documentary,7.1,G,1h 26min,Francis Luta,2019
Pretty Little Stalker,"Drama, Mystery & Thriller",3.6,N/A,1h 23min,Sam Irvin,2020
Amundsen,"Drama, History, Made in Europe",6.2,N/A,2h 5min,Espen Sandberg,2019
Altered Minds,"Mystery & Thriller, Drama",6.0,N/A,1h 46min,Michael Z. Wechsler,2014
Pennywise: The Story of IT,"Documentary, Horror",7.5,N/A,2h 6min,Chris Griffiths,2021
Awakened,Documentary,5.4,N/A,1h 30min,N/A,2016
Wildcat,Documentary,7.8,R,1h 46min,Melissa Lesh,2022
A Quiet Passion,"Drama, Made in Europe",6.5,PG-13,2h 5min,Terence Davies,2016
Generation Iron: Natty 4 Life,Documentary,5.8,N/A,1h 48min,Vlad Yudin,2020
Don't Look Down,Documentary,7.1,N/A,1h 34min,Daniel Gordon,2016
Death Trip,"Mystery & Thriller, Horror",2.8,N/A,1h 41min,James Watts,2021
The Possession Experiment,"Mystery & Thriller, Horror",3.5,N/A,1h 24min,Scott B. Hansen,2016
Country Hard,"Crime, Drama",4.6,N/A,1h 59min,Paul Utomi,2021
Butchers,"Horror, Mystery & Thriller",4.7,N/A,1h 33min,Adrian Langley,2020
Celtic Soul,Documentary,7.3,N/A,1h 26min,Michael McNamara,2016
Other Monsters,"Mystery & Thriller, Crime",4.0,N/A,1h 33min,Ben Lanoha,2022
Psych: The Movie,"Comedy, Crime",7.3,PG,2h 0min,Steve Franks,2017
The Thing Inside Us,"Horror, Science-Fiction, Mystery & Thriller",3.5,N/A,1h 23min,N/A,2021
Tracktown,"Drama, Sport",5.7,N/A,1h 28min,Jeremy Teicher,2017
Late Night,"Drama, Comedy",6.5,R,1h 43min,Nisha Ganatra,2019
Violent,"Drama, Made in Europe",7.1,PG,1h 42min,Andrew Huculiak,2014
The Family,"Comedy, Made in Europe, Mystery & Thriller, Crime",6.3,R,1h 51min,Luc Besson,2013
The Field,"Mystery & Thriller, Fantasy, Science-Fiction",4.3,PG-13,1h 32min,Tate Bunker,2019
Aline,"Comedy, Drama, Music & Musical",6.3,PG-13,2h 5min,Valérie Lemercier,2020
"Stallone: Frank, That Is",Documentary,6.4,N/A,1h 13min,Derek Wayne Johnson,2021
Run Sweetheart Run,"Mystery & Thriller, Horror",5.5,R,1h 43min,Shana Feste,2020
Airborne,"Drama, Action & Adventure, Crime",4.4,N/A,1h 20min,Brigham McNeely,2022
Discoverdale,"Comedy, Music & Musical, Documentary, Made in Europe",8.1,N/A,1h 21min,George Kane,2016
White Lie,Drama,6.6,N/A,1h 36min,Calvin Thomas,2019
Murder in the Woods,"Mystery & Thriller, Horror",3.7,R,1h 28min,Luis Iga,2020
Killer Bees,"Documentary, Sport",7.5,N/A,1h 25min,Orson Cummings,2018
Anthropoid,"Mystery & Thriller, War & Military, Action & Adventure, Drama, History, Romance, Made in Europe",7.2,R,2h 0min,Sean Ellis,2016
The White Orchid,"Drama, Mystery & Thriller",5.4,N/A,1h 22min,Steve Anderson,2018
The Dirty 3rd: Next Generation,Crime,7.1,N/A,1h 46min,N/A,2022
Gone Tomorrow,"Crime, Mystery & Thriller, Drama",4.6,N/A,1h 30min,Jordan Brown,2015
Born to Play,Documentary,7.0,N/A,1h 32min,Viridiana Lieberman,2020
Pinocchio,"Fantasy, Drama, Kids & Family, Made in Europe",6.2,PG-13,2h 4min,Matteo Garrone,2020
Fading Gigolo,"Comedy, Romance",6.2,R,1h 30min,John Turturro,2013
Day Zero,"Documentary, Drama",7.2,N/A,1h 11min,N/A,2021
Big Legend,"Mystery & Thriller, Horror, Action & Adventure",4.7,N/A,1h 29min,Justin Lee,2018
You Must Be Joking,Comedy,5.2,N/A,1h 32min,Jake Wilson,2014
The Carmilla Movie,"Horror, Romance, Comedy",6.1,R,1h 34min,Spencer Maybee,2017
The Legion,"Action & Adventure, History",3.1,R,1h 36min,Jose Magan,2020
Silence Patton,Documentary,6.6,N/A,1h 25min,N/A,2018
Radhe Shyam,"Drama, Romance",5.3,N/A,2h 18min,Radha Krishna Kumar,2022
All About Sex,"Drama, Comedy",4.8,N/A,1h 15min,Dakota Gorman,2021
Survivor's Guide to Prison,Documentary,7.1,N/A,1h 42min,Matthew Cooke,2018
Iron Cowboy,"Documentary, Sport",6.6,N/A,1h 16min,N/A,2018
Ashley Haden: F**k You and F**k Your Beliefs,Comedy,N/A,N/A,1h 1min,Ashley Haden,2020
Like Dogs,"Mystery & Thriller, Horror",3.9,N/A,1h 34min,Randy Van Dyke,2021
The Wanting Mare,"Fantasy, Science-Fiction, Drama",5.3,PG-13,1h 28min,Nicholas Ashe Bateman,2021
Ivanna,"Horror, Mystery & Thriller",5.7,R,1h 43min,Kimo Stamboel,2022
Nizhal,"Mystery & Thriller, Drama",6.3,N/A,1h 58min,Appu N. Bhattathiri,2021
Brian and Charles,"Comedy, Drama",6.7,PG,1h 30min,Jim Archer,2022
2.0,"Fantasy, Action & Adventure, Science-Fiction, Mystery & Thriller",6.1,N/A,2h 29min,Shankar,2018
Adventures of a Mathematician,Drama,5.6,N/A,1h 42min,Thorsten Klein,2021
The Alpha Test,"Mystery & Thriller, Science-Fiction, Horror",3.5,N/A,1h 27min,Aaron Mirtes,2021
Alien Code,"Science-Fiction, Mystery & Thriller",5.7,PG,1h 37min,Michael G. Cooney,2017
Stratton,"Action & Adventure, Mystery & Thriller",4.8,R,1h 35min,Simon West,2017
The Feels,"Comedy, Drama, Romance",5.1,N/A,1h 28min,Jenée LaMarque,2017
The Rose Maker,"Comedy, Made in Europe",6.4,N/A,1h 45min,Pierre Pinaud,2020
Rage,Mystery & Thriller,4.4,N/A,2h 23min,John Balazs,2021
International Falls,Comedy,5.8,N/A,1h 33min,N/A,2019
Bachchhan Paandey,"Comedy, Action & Adventure, Crime, Drama",5.2,N/A,2h 27min,Farhad Samji,2022
The Hero,"Drama, Romance, Western, Comedy",6.5,R,1h 33min,Brett Haley,2017
Abducted,Mystery & Thriller,4.6,N/A,1h 45min,Vincent Augusto,2021
Look Into the Fire,Mystery & Thriller,4.8,PG-13,1h 45min,N/A,2022
Jug Face,"Horror, Mystery & Thriller, Drama",5.2,R,1h 21min,Chad Crawford Kinkle,2013
The Cleaning Lady,"Horror, Mystery & Thriller",5.5,R,1h 30min,Jon Knautz,2018
Eye in the Sky,"War & Military, Drama, Mystery & Thriller, Action & Adventure",7.3,R,1h 42min,Gavin Hood,2016
Virtual Revolution,"Science-Fiction, Action & Adventure, Crime, Mystery & Thriller",5.0,N/A,1h 32min,Guy-Roger Duvert,2016
Leaning Into the Wind: Andy Goldsworthy,"Documentary, Made in Europe",7.0,PG,1h 37min,Thomas Riedelsheimer,2018
Lifechanger,"Horror, Mystery & Thriller, Romance, Drama, Fantasy",5.4,N/A,1h 24min,Justin McConnell,2018
Bodysnatch,"Science-Fiction, Mystery & Thriller",3.2,N/A,1h 21min,Louis Benjamin Del Guercio,2018
Enter the Fat Dragon,"Comedy, Action & Adventure",5.7,N/A,1h 33min,Kenji Tanigaki,2020
Appropriate Behavior,"Comedy, Drama, Romance",6.5,N/A,1h 30min,Desiree Akhavan,2015
Family Camp,"Kids & Family, Comedy",5.0,PG,1h 51min,Brian Cates,2022
Funniest Movie Bloopers,,N/A,N/A,1h 3min,N/A,2018
The Red Dress,"Mystery & Thriller, Drama",3.7,N/A,1h 30min,Leif Bristow,2015
The Arbors,"Horror, Science-Fiction, Mystery & Thriller, Drama",4.1,N/A,1h 56min,Clayton Witmer,2020
Maze,"Drama, Mystery & Thriller, Music & Musical, Crime, History, Made in Europe",5.9,N/A,1h 32min,Eve McConnachie,2017
30 Nights of Paranormal Activity With the Devil Inside the Girl With the Dragon Tattoo,"Comedy, Horror",2.5,R,1h 20min,Craig Moss,2013
Wild Honey Pie!,"Drama, Comedy",4.8,N/A,1h 28min,Jamie Adams,2018
Carrie,"Horror, Drama",5.8,R,1h 40min,Kimberly Peirce,2013
Red Dog,Documentary,6.8,R,1h 45min,Casey Pinkston,2019
King Lear,"Drama, Fantasy, History, Action & Adventure",6.6,PG-13,1h 55min,Richard Eyre,2018
Parrot Heads,"Documentary, Music & Musical",6.6,N/A,1h 28min,Bryce Wagoner,2017
Girl/Girl Scene: The Movie,"Drama, Comedy, Romance",2.4,N/A,2h 2min,Tucky Williams,2019
The Pollinators,Documentary,7.2,N/A,1h 33min,N/A,2019
The Prey,"Crime, Action & Adventure",5.5,N/A,1h 34min,Jimmy Henderson,2018
Vendhu Thanindhathu Kaadu,"Mystery & Thriller, Drama, Action & Adventure, Crime",7.4,N/A,2h 52min,Gautham Vasudev Menon,2022
Surviving the Outback,Documentary,8.2,N/A,57min,N/A,2018
Grave Intentions,Horror,4.0,N/A,1h 28min,Gabriel Olson,2021
The Argument,Comedy,4.7,N/A,1h 21min,Robert Schwartzman,2020
Patrick,"Mystery & Thriller, Horror, Science-Fiction",4.9,N/A,1h 36min,Mark Hartley,2013
And So It Goes,"Comedy, Drama, Romance",5.8,PG-13,1h 34min,Rob Reiner,2014
Somm 3,Documentary,6.9,R,1h 20min,Jason Wise,2018
They/Them/Us,"Comedy, Drama, Romance",4.9,N/A,1h 30min,Jon Sherman,2022
The Silent Twins,Drama,5.8,R,1h 53min,Agnieszka Smoczyńska,2022
44 Pages,"Documentary, History",7.0,N/A,1h 37min,Tony Shaff,2018
John Waite: The Hard Way,"Music & Musical, Documentary",7.6,N/A,1h 31min,N/A,2022
The Jack in the Box,Horror,4.2,N/A,1h 27min,Lawrence Fowler,2019
The Secret Life of the Cruise,Documentary,7.0,N/A,1h 6min,Ben Ryder,2018
Paws of Fury: The Legend of Hank,"Comedy, Western, Animation, Action & Adventure, Kids & Family",5.7,PG,1h 34min,Mark Koetsier,2022
Attila Marcel,"Comedy, Drama, Made in Europe, Music & Musical",7.0,G,1h 46min,Sylvain Chomet,2013
The Rainbow Experiment,"Drama, Crime",5.7,N/A,2h 9min,Christina Kallas,2018
Americana,Drama,5.4,N/A,1h 21min,Zachary Shedd,2016
Inheritance,"Mystery & Thriller, Horror, Drama",3.5,N/A,1h 30min,N/A,2017
There's Something About Mario,"Comedy, Romance",5.4,N/A,1h 51min,Hsu Chien Hsin,2021
Lillith,"Comedy, Horror",3.9,N/A,1h 33min,N/A,2019
Howl from Beyond the Fog,"Animation, Fantasy, Science-Fiction",6.5,N/A,35min,Daisuke Sato,2019
Elyse,Drama,4.3,N/A,1h 35min,Stella Hopkins,2020
Cult Following,"Horror, Mystery & Thriller, Comedy",4.2,N/A,1h 27min,Matt Hartley,2021
Savage Dog,"Action & Adventure, Drama",5.0,N/A,1h 34min,Jesse V. Johnson,2017
24 Days,"Mystery & Thriller, Drama, Made in Europe",6.3,N/A,1h 50min,Alexandre Arcady,2014
Anchorman 2: The Legend Continues,Comedy,6.3,PG-13,1h 59min,Adam McKay,2013
One Night Off,Comedy,5.3,N/A,1h 44min,Martin Schreier,2021
Plague,"Drama, Horror, Science-Fiction",4.6,R,1h 26min,Nick Kozakis,2015
The Saturn V Story,"Documentary, History",7.4,N/A,52min,Elliot Weaver,2014
The House In Between: Part 2,"Horror, Mystery & Thriller",N/A,N/A,1h 42min,Kendall Whelpton,2022
Out of Liberty,"Drama, Western",4.5,PG,1h 51min,Garrett Batty,2019
The Prague Orgy,"Drama, Mystery & Thriller, Documentary",4.9,N/A,1h 30min,Irena Pavlásková,2019
Mendarat Darurat,"Romance, Comedy",6.1,N/A,1h 53min,Pandji Pragiwaksono,2022
Evil Eye,"Mystery & Thriller, Horror",4.8,N/A,1h 30min,Rajeev Dassani,2020
Planet of the Humans,Documentary,6.9,N/A,1h 40min,Jeff Gibbs,2019
The Swordsman,"Drama, Action & Adventure, History",6.8,PG-13,1h 41min,Choi Jae-hoon,2020
Echo Lake,"Comedy, Drama",6.6,N/A,1h 26min,Jody McVeigh-Schultz,2015
The Identical,"Music & Musical, Drama",5.3,PG,1h 47min,Dustin Marcellino,2014
Unicorn Town,"Documentary, Drama, Sport, Made in Europe",8.2,N/A,1h 26min,Nick Alfieri,2022
Ananya,"Horror, Drama",6.5,N/A,2h 4min,Pratap Phad,2018
Decoding Annie Parker,Drama,6.2,R,1h 31min,Steven Bernstein,2014
Thank God,"Comedy, Fantasy",5.6,N/A,2h 1min,Indra Kumar,2022
Phil Tippett: Mad Dreams and Monsters,Documentary,7.3,N/A,1h 20min,Gilles Penso,2019
13 Eerie,"Mystery & Thriller, Horror, Science-Fiction",4.5,N/A,1h 27min,Lowell Dean,2013
Summer '03,"Comedy, Drama, Romance",5.5,N/A,1h 35min,Becca Gleason,2018
Road to the Lemon Grove,"Comedy, Drama",6.1,N/A,1h 28min,Dale Hildebrand,2021
Rooney,"Documentary, Sport",6.8,N/A,1h 45min,Matt Smith,2022
Almost Married,"Comedy, Made in Europe",4.5,N/A,1h 37min,Ben Cookson,2014
The Ultimate Life,"Drama, Romance",6.0,PG,1h 45min,Michael Landon Jr.,2013
Bully,"Drama, Mystery & Thriller, Kids & Family, Made in Europe",5.0,PG-13,1h 25min,Sjoerd de Bont,2017
The Curse of Sleeping Beauty,"Fantasy, Horror, Mystery & Thriller",4.3,N/A,1h 29min,Pearry Reginald Teo,2016
Desolation,"Mystery & Thriller, Drama, Action & Adventure, Horror",4.2,N/A,1h 30min,David Moscow,2018
The Tangle,"Mystery & Thriller, Science-Fiction",4.3,PG,1h 39min,Christopher Soren Kelly,2019
Ancient Alien America,Mystery & Thriller,N/A,N/A,1h 25min,J. Michael Long,2018
River,"Science-Fiction, Drama",3.2,N/A,1h 33min,Emily Skye,2021
Viruman,"Action & Adventure, Drama",4.9,N/A,2h 31min,M. Muthaiah,2022
Vikram Vedha,"Action & Adventure, Mystery & Thriller, Crime, Drama",8.2,PG,2h 27min,Pushkar,2017
Dave Made a Maze,"Comedy, Fantasy, Horror",6.3,N/A,1h 20min,Bill Watterson,2017
Mayor Pete,Documentary,5.0,R,1h 36min,Jesse Moss,2021
Runway 34,"Drama, Mystery & Thriller",7.0,N/A,2h 21min,Ajay Devgn,2022
Mandorla,"Fantasy, Drama, Made in Europe",6.6,R,1h 30min,Roberto Miller,2015
Looks That Kill,"Comedy, Drama, Romance",6.3,N/A,1h 32min,N/A,2021
Days of Power,"Action & Adventure, Drama, Music & Musical, Mystery & Thriller",3.1,N/A,1h 42min,N/A,2018
Landmine Goes Click,"Drama, Mystery & Thriller, Action & Adventure, Crime, Horror",5.9,N/A,1h 50min,Levan Bakhia,2015
To Tokyo,"Horror, Mystery & Thriller, Drama, Fantasy",4.1,N/A,1h 17min,Caspar Seale Jones,2018
Play or Die,"Horror, Mystery & Thriller, Made in Europe",3.7,N/A,1h 29min,Jacques Kluger,2019
A Night in Old Mexico,"Drama, Western, Made in Europe",5.7,N/A,1h 43min,Emilio Aragón,2013
Noah's Shark,"Science-Fiction, Mystery & Thriller, Action & Adventure, Horror",1.7,N/A,1h 11min,Mark Polonia,2021
Locked In,"Mystery & Thriller, Drama",4.2,N/A,15min,Damián Romay,2017
Woe,"Horror, Mystery & Thriller",3.7,N/A,1h 24min,Matthew Goodhue,2020
Undergods,"Drama, Science-Fiction, Mystery & Thriller, Fantasy",5.4,R,1h 32min,Chino Moya,2020
