Title,genre,imdb,Tv-Rating,runtime,director,year
Gold,"Mystery & Thriller, Action & Adventure",5.4,R,1h 37min,Anthony Hayes,2022
99 Homes,"Drama, Crime",7.1,R,1h 52min,Ramin Bahrani,2015
If Beale Street Could Talk,"Drama, Romance, Crime",7.1,R,2h 0min,Barry Jenkins,2018
Downhill,"Drama, Comedy",N/A,R,1h 25min,Jim Rash,2020
AWOL,"Drama, Romance",5.6,N/A,1h 22min,Deb Shoval,2017
Here Before,"Drama, Mystery & Thriller",5.8,R,1h 23min,Stacey Gregg,2021
Stars at Noon,"Mystery & Thriller, Romance, Drama",5.5,R,2h 18min,Claire Denis,2022
Assailant,Mystery & Thriller,5.3,R,1h 37min,Tom Paton,2022
Prisoners of the Sun,"Horror, Action & Adventure",3.7,N/A,1h 24min,Roger Christian,2013
Into the Dark: I'm Just F*cking With You,"Horror, Mystery & Thriller, Comedy",5.6,N/A,1h 21min,N/A,2019
The Meaning of Hitler,Documentary,6.3,N/A,1h 32min,Michael Tucker,2021
We Are Freestyle Love Supreme,"Documentary, Comedy",6.9,N/A,1h 30min,Andrew Fried,2020
All Roads Lead to Rome,"Comedy, Drama, Romance, Made in Europe",4.9,PG-13,1h 30min,Ella Lemhagen,2016
Dual,"Comedy, Science-Fiction, Mystery & Thriller, Drama",5.8,R,1h 35min,Riley Stearns,2022
Vendetta,"Action & Adventure, Mystery & Thriller",3.7,R,1h 36min,Jared Cohn,2022
47 Meters Down,"Mystery & Thriller, Horror, Drama",5.6,PG-13,1h 29min,Johannes Roberts,2017
Wyrm,"Science-Fiction, Comedy",6.6,N/A,1h 37min,Christopher Winterbauer,2019
WeWork: or The Making and Breaking of a $47 Billion Unicorn,Documentary,6.6,N/A,1h 44min,Jed Rothstein,2021
I Smile Back,Drama,6.2,R,1h 25min,Adam Salky,2015
Stop and Go,"Comedy, Drama",6.2,N/A,1h 20min,Mallory Everton,2021
Topside,Drama,6.0,N/A,1h 25min,Celine Held,2022
Ride the Eagle,"Drama, Comedy",6.3,N/A,1h 29min,Trent O'Donnell,2021
Wild Horses,"Drama, Mystery & Thriller, Western, Crime",4.8,R,1h 40min,Robert Duvall,2015
The Valet,"Comedy, Romance, Drama",6.7,PG-13,2h 4min,Richard Wong,2022
Feral State,Mystery & Thriller,4.7,R,1h 18min,Jon Carlo,2021
Unplugging,"Comedy, Romance",4.4,R,1h 34min,Debra Neil-Fisher,2022
Legion of Brothers,"Documentary, War & Military",5.9,N/A,1h 19min,Greg Barker,2017
The Internship,Comedy,6.3,PG-13,1h 59min,Shawn Levy,2013
Alone,"Mystery & Thriller, Horror, Drama",6.2,R,1h 38min,John Hyams,2020
On the Count of Three,"Drama, Comedy, Crime",7.0,R,1h 26min,Jerrod Carmichael,2022
Cryptozoo,"Animation, Fantasy",6.4,N/A,1h 35min,Dash Shaw,2021
Night of the Kings,"Drama, Fantasy",6.5,N/A,1h 33min,Philippe Lacôte,2021
Crock of Gold: A Few Rounds with Shane MacGowan,"Drama, Music & Musical, Documentary",7.8,N/A,2h 4min,Julien Temple,2020
We Broke Up,"Comedy, Drama, Romance",5.1,N/A,1h 20min,Jeff Rosenberg,2021
Savage State,"Western, Made in Europe",N/A,N/A,1h 56min,David Perrault,2020
The Owners,"Mystery & Thriller, Horror",N/A,N/A,1h 32min,Julius Berg,2020
Collective,"Documentary, Crime",8.1,N/A,1h 49min,Alexander Nanau,2019
Hostiles,"Western, Drama, History, Documentary",7.2,R,2h 14min,Scott Cooper,2017
Honeymoon,"Horror, Science-Fiction, Romance, Mystery & Thriller, Drama, Fantasy",5.7,R,1h 28min,Leigh Janiak,2014
Alone Together,"Drama, Romance",5.4,R,1h 41min,Katie Holmes,2022
Riders of Justice,"Comedy, Drama, Action & Adventure, Made in Europe",7.5,N/A,1h 56min,Anders Thomas Jensen,2020
Alan Partridge: Alpha Papa,"Comedy, Crime, Action & Adventure, Made in Europe",6.9,PG-13,1h 30min,Declan Lowney,2013
Press Play,"Drama, Music & Musical, Romance, Science-Fiction",6.0,PG-13,1h 25min,Greg Björkman,2022
Cowboys,Drama,6.3,N/A,1h 23min,Anna Kerrigan,2020
Rising Wolf,"Science-Fiction, Mystery & Thriller, Fantasy",3.5,N/A,1h 42min,N/A,2021
President,Documentary,7.6,N/A,1h 55min,Camilla Nielsson,2021
"Standing Up, Falling Down","Drama, Comedy",6.5,N/A,1h 31min,Matt Ratner,2020
The Vigil,"Mystery & Thriller, Horror",5.8,PG-13,1h 28min,Keith Thomas,2020
Bitterbrush,Documentary,7.3,N/A,1h 30min,Emelie Coleman Mahdavian,2021
The Desperate Hour,Mystery & Thriller,4.9,PG-13,1h 24min,Phillip Noyce,2021
The Dinner,"Mystery & Thriller, Drama, Crime, Made in Europe",4.5,R,2h 0min,Oren Moverman,2017
The Enforcer,"Drama, Mystery & Thriller, Crime, Action & Adventure",5.3,R,1h 30min,Richard Hughes,2022
Red Penguins,"Documentary, Sport",6.8,PG-13,1h 20min,Gabe Polsky,2019
kid 90,"Documentary, History, Kids & Family",6.8,PG-13,1h 11min,Soleil Moon Frye,2021
Censor,Horror,6.0,N/A,1h 24min,Prano Bailey-Bond,2021
100% Wolf,"Fantasy, Animation, Comedy, Kids & Family",5.6,PG,1h 36min,Alexs Stadermann,2020
God Forbid: The Sex Scandal That Brought Down a Dynasty,Documentary,6.8,N/A,1h 49min,Billy Corben,2022
All My Puny Sorrows,Drama,6.1,R,1h 43min,Michael McGowan,2021
"Summer of Soul (...Or, When the Revolution Could Not Be Televised)","Documentary, Music & Musical, History",8.0,PG-13,1h 57min,Questlove,2021
Barbarians,"Mystery & Thriller, Horror, Crime",4.7,N/A,1h 30min,Charles Dorfman,2021
The Bob's Burgers Movie,"Comedy, Animation, Mystery & Thriller, Crime, Drama",7.0,PG-13,1h 42min,Loren Bouchard,2022
Still,"Drama, Fantasy",5.2,N/A,1h 36min,Takashi Doscher,2018
Spirit Untamed,"Western, Comedy, Kids & Family, Animation",5.5,PG,1h 27min,Elaine Bogan,2021
Into the Deep,Mystery & Thriller,4.5,R,1h 30min,Kate Cox,2022
The Shack,"Drama, Fantasy",6.2,PG-13,2h 12min,Stuart Hazeldine,2017
Rogue Hostage,"Action & Adventure, Mystery & Thriller",3.4,N/A,1h 34min,Jon Keeyes,2021
The Hating Game,"Romance, Comedy",6.2,R,1h 42min,Peter Hutchings,2021
Becoming Bond,"Documentary, Comedy, Romance, History",7.5,N/A,1h 31min,Josh Greenbaum,2017
Wounds,"Mystery & Thriller, Drama, Horror",4.1,R,1h 35min,Babak Anvari,2019
Forsaken,"Western, Action & Adventure, Drama",6.4,R,1h 30min,Jon Cassar,2015
The Lodge,"Drama, Horror, Mystery & Thriller, Made in Europe",6.0,R,1h 40min,Veronika Franz,2020
One Way,"Mystery & Thriller, Action & Adventure",4.0,R,1h 36min,Andrew Baird,2022
Crime + Punishment,Documentary,7.4,N/A,1h 51min,Stephen T. Maing,2018
No Exit,"Mystery & Thriller, Horror, Drama",6.1,R,1h 35min,Damien Power,2022
Neat: The Story of Bourbon,Documentary,7.5,N/A,1h 15min,David M. Altrogge,2018
Untouchable,"Documentary, Crime, Made in Europe",6.7,N/A,1h 38min,Ursula Macfarlane,2019
Rise of the Footsoldier: Origins,"Drama, Action & Adventure, Crime",5.8,N/A,1h 47min,Nick Nevern,2021
"All Light, Everywhere",Documentary,6.9,N/A,1h 49min,Theo Anthony,2021
Collide,"Mystery & Thriller, Drama",4.2,R,1h 30min,Mukunda Michael Dewil,2022
Enemies of the State,Documentary,6.0,N/A,1h 43min,Sonia Kennebeck,2021
Obey Giant,Documentary,7.3,N/A,1h 30min,James Moll,2017
Tell It to the Bees,"Romance, Drama",6.4,N/A,1h 45min,Annabel Jankel,2019
Johnny English Strikes Again,"Comedy, Action & Adventure, Made in Europe",6.2,PG,1h 29min,David Kerr,2018
The Last Rite,"Horror, Mystery & Thriller",3.6,N/A,1h 47min,Leroy Kincaide,2021
Come True,"Horror, Science-Fiction",6.0,N/A,1h 45min,Anthony Scott Burns,2020
The Last Tourist,Documentary,7.1,N/A,1h 24min,Tyson Sadler,2021
The Estate,"Mystery & Thriller, Comedy",4.7,R,1h 25min,James Kapner,2021
I Am Not Your Negro,"Documentary, History, Made in Europe",7.9,R,1h 33min,Raoul Peck,2017
The Virtuoso,"Crime, Mystery & Thriller, Action & Adventure",4.9,R,1h 45min,Nick Stagliano,2021
Accident Man: Hitman's Holiday,"Comedy, Crime, Action & Adventure",5.9,R,1h 36min,Harry Kirby,2022
Madonna and the Breakfast Club,"Drama, Documentary",6.5,N/A,1h 45min,Guy Guido,2019
The Truth About Christmas,"Drama, Comedy, Romance",5.6,N/A,2h 0min,Jay Karas,2018
Christmas Belle,"Romance, Drama, Kids & Family",5.0,N/A,1h 30min,Alex Wright,2013
Jacinta,Documentary,7.4,N/A,1h 45min,Jessica Earnshaw,2021
Bergman Island,"Romance, Drama",6.7,R,1h 53min,Mia Hansen-Løve,2021
"Mark, Mary + Some Other People","Drama, Comedy",N/A,N/A,1h 30min,Hannah Marks,2021
The Ledge,"Mystery & Thriller, Action & Adventure",5.1,R,1h 26min,Howard J. Ford,2022
Stage Mother,"Comedy, Drama, Music & Musical",6.5,R,1h 33min,Thom Fitzgerald,2020
Lorelei,Drama,6.4,N/A,1h 51min,Sabrina Doyle,2020
12 Hour Shift,"Horror, Mystery & Thriller, Comedy",5.5,N/A,1h 26min,Brea Grant,2020
I'm Your Man,"Romance, Science-Fiction, Comedy, Drama",7.1,R,1h 48min,Maria Schrader,2021
A Nasty Piece of Work,"Horror, Mystery & Thriller",N/A,N/A,1h 30min,Charles Hood,2019
Not Okay,"Drama, Comedy",6.1,R,1h 40min,Quinn Shephard,2022
Dumb: The Story of Big Brother Magazine,Documentary,7.4,N/A,1h 19min,Patrick O'Dell,2017
Pure,Horror,N/A,N/A,1h 30min,Hannah Macpherson,2019
To Chiara,Drama,6.8,R,2h 1min,Jonas Carpignano,2021
Lupin III: The First,"Animation, Action & Adventure, Crime, Kids & Family, Comedy",6.9,PG-13,1h 33min,Takashi Yamazaki,2019
The Sweet Life,"Drama, Comedy, Romance",6.2,N/A,1h 30min,Rob Spera,2017
Flee,"Animation, Made in Europe, Drama, Documentary",7.9,PG-13,1h 29min,Antonis Goumas,2021
The Outside Story,"Drama, Comedy",6.4,N/A,1h 25min,N/A,2021
Homeroom,Documentary,5.7,N/A,1h 30min,Peter Nicks,2021
The Standard,"Documentary, Sport",7.0,N/A,1h 31min,Phil Wall,2020
Derek DelGaudio's In & Of Itself,Documentary,8.2,N/A,1h 30min,Frank Oz,2021
The Eyes of My Mother,"Horror, Drama, Mystery & Thriller",6.2,R,1h 16min,Nicolas Pesce,2016
First Date,"Mystery & Thriller, Crime, Comedy",5.4,N/A,1h 43min,Darren Knapp,2021
Body at Brighton Rock,"Mystery & Thriller, Fantasy, Horror, Comedy, Drama",4.8,R,1h 28min,Roxanne Benjamin,2019
Best Summer Ever,"Music & Musical, Comedy, Romance",5.5,N/A,1h 12min,Lauren Smitelli,2020
Intrigo: Dear Agnes,"Drama, Mystery & Thriller, Crime",5.1,R,1h 40min,Daniel Alfredson,2019
Grimcutty,"Horror, Drama, Mystery & Thriller",4.3,R,1h 41min,John Ross,2022
Pound of Flesh,"Action & Adventure, Mystery & Thriller",5.1,R,1h 44min,Ernie Barbarash,2015
Ted K,"Drama, Crime",6.0,R,2h 0min,Tony Stone,2021
Falling for Figaro,"Romance, Comedy, Music & Musical",6.4,N/A,1h 44min,Ben Lewin,2021
Self/less,"Action & Adventure, Science-Fiction, Mystery & Thriller, Drama",6.5,PG-13,1h 57min,Tarsem Singh,2015
MLK/FBI,"Documentary, History",7.0,PG,1h 44min,Sam Pollard,2021
Minamata,"Drama, History",7.2,R,1h 55min,Andrew Levitas,2020
Wildhood,"Drama, Romance",6.9,N/A,1h 47min,Bretten Hannam,2022
Indemnity,"Mystery & Thriller, Action & Adventure, Crime",4.8,N/A,2h 4min,Travis Taute,2022
Endless,"Drama, Comedy, Horror, Romance, Mystery & Thriller",4.7,N/A,1h 35min,Scott Speer,2020
Satanic,"Horror, Mystery & Thriller",3.7,R,1h 24min,Jeffrey G. Hunt,2016
American Underdog,"Drama, Sport",7.1,PG,1h 52min,Jon Erwin,2021
The Etruscan Smile,Drama,6.9,R,1h 43min,Mihal Brezis,2019
K: Missing Kings,"Action & Adventure, Animation, Fantasy",6.8,PG,1h 14min,Shingo Suzuki,2014
Last Survivors,"Mystery & Thriller, Science-Fiction",4.8,N/A,1h 38min,Drew Mylrea,2021
The Grand Seduction,Comedy,7.0,PG-13,1h 52min,Don McKellar,2014
You Cannot Kill David Arquette,"Documentary, Sport",7.1,R,1h 31min,David Darg,2020
Billie,"Documentary, Music & Musical, History",6.8,N/A,1h 36min,James Erskine,2020
Two of Us,"Drama, Romance, Comedy",7.2,N/A,1h 35min,Filippo Meneghetti,2020
Intrigo: Death of an Author,"Crime, Mystery & Thriller, Drama, Made in Europe",5.7,R,1h 46min,Daniel Alfredson,2018
In the Earth,"Horror, Mystery & Thriller, Science-Fiction",5.1,R,1h 47min,Ben Wheatley,2021
Ammonite,"Drama, Romance, History",6.5,R,1h 58min,Francis Lee,2020
Every Breath You Take,"Mystery & Thriller, Drama",5.3,R,1h 45min,Vaughn Stein,2021
Christmas in the Heartland,"Kids & Family, Drama, Comedy",5.8,N/A,1h 30min,Harvey Lowry,2017
The Orange Years: The Nickelodeon Story,Documentary,7.5,N/A,1h 42min,Scott Barber,2018
Four Good Days,Drama,6.5,R,1h 40min,Rodrigo García,2021
Shadow in the Cloud,"Horror, Action & Adventure, War & Military",5.0,R,1h 23min,Roseanne Liang,2020
The Force,Documentary,6.8,N/A,1h 20min,Peter Nicks,2017
The Painter and the Thief,Documentary,7.5,N/A,1h 43min,Benjamin Ree,2020
Killing Gunther,"Comedy, Action & Adventure, Mystery & Thriller",4.8,R,1h 32min,Taran Killam,2017
Her Smell,"Drama, Music & Musical",6.0,R,2h 16min,Alex Ross Perry,2019
RBG,Documentary,7.6,PG,1h 37min,Julie Cohen,2018
One Shot,"Action & Adventure, Mystery & Thriller",5.6,N/A,1h 37min,James Nunn,2021
Dream Horse,"Comedy, Drama, Sport",6.9,PG,1h 53min,Euros Lyn,2021
The Beach Bum,"Comedy, Made in Europe",5.5,R,1h 35min,Harmony Korine,2019
My Valentine,"Horror, Mystery & Thriller",N/A,PG-13,1h 19min,Maggie Levin,2020
Antlers,"Horror, Mystery & Thriller, Drama, Action & Adventure, Crime, Fantasy",5.9,R,1h 39min,Scott Cooper,2021
Racing Extinction,"Action & Adventure, Documentary, Drama, Mystery & Thriller",8.2,N/A,1h 34min,Louie Psihoyos,2015
Son of God,"Drama, History, Made in Europe",5.8,PG-13,2h 18min,Christopher Spencer,2014
Matriarch,Horror,4.5,R,1h 25min,Ben Steiner,2022
The Postcard Killings,"Drama, Mystery & Thriller, Crime",5.7,NC-17,1h 41min,Danis Tanović,2020
How to Be Single,"Comedy, Drama, Romance",6.1,R,1h 50min,Christian Ditter,2016
Let Us In,"Mystery & Thriller, Science-Fiction, Horror",4.4,N/A,1h 24min,Craig Moss,2021
Ask Dr. Ruth,Documentary,7.7,N/A,1h 40min,Ryan White,2019
Hunt for the Skinwalker,Documentary,4.5,N/A,2h 7min,Jeremy Kenyon Lockyer Corbell,2018
Big Time Adolescence,"Comedy, Drama",6.9,R,1h 31min,Jason Orley,2020
Gone in the Night,"Drama, Mystery & Thriller",4.9,R,1h 30min,Eli Horowitz,2022
Synchronicity,"Science-Fiction, Mystery & Thriller, Romance, Drama, Made in Europe",5.5,R,1h 41min,Jacob Gentry,2015
The Cat and the Moon,"Drama, Music & Musical",6.0,N/A,1h 54min,Alex Wolff,2019
The Miseducation of Cameron Post,"Drama, Comedy",6.6,N/A,1h 32min,Desiree Akhavan,2018
Flower,"Drama, Documentary, Comedy",6.0,R,1h 34min,Max Winkler,2017
All About Nina,"Drama, Comedy, Romance",6.2,R,1h 37min,Eva Vives,2018
Pil's Adventures,"Comedy, Kids & Family, Animation, Action & Adventure, Fantasy",6.1,PG,1h 29min,Julien Fournet,2021
They Come Knocking,Horror,N/A,N/A,1h 25min,Adam Mason,2019
Nymphomaniac: The Director's Cut Volume I,Drama,N/A,N/A,2h 25min,N/A,2014
The World to Come,"Drama, Western, Romance, History",6.2,R,1h 38min,Mona Fastvold,2021
Beba,Documentary,6.5,R,1h 20min,Rebeca Huntt,2022
Proximity,Drama,N/A,N/A,1h 59min,Eric Demeusy,2020
10.0 Earthquake,"Drama, Action & Adventure, Science-Fiction, Mystery & Thriller",3.5,N/A,1h 28min,David Gidali,2014
The Requin,"Horror, Mystery & Thriller",2.6,R,1h 29min,Lê Văn Kiệt,2022
Wasted! The Story of Food Waste,Documentary,7.5,N/A,1h 30min,Nari Kye,2017
Apollo 11,"Documentary, History, Made in Europe",8.1,G,1h 33min,Todd Douglas Miller,2019
Just Friends,"Drama, Comedy, Romance, Made in Europe",7.2,N/A,1h 20min,Annemarie van de Mond,2018
A Dogwalker's Christmas Tale,"Comedy, Kids & Family, Romance, Drama",5.1,N/A,1h 20min,Letia Clouston,2018
The Burning Sea,"Action & Adventure, Drama, Mystery & Thriller",6.3,PG-13,1h 44min,John Andreas Andersen,2021
Kurt Vonnegut: Unstuck in Time,Documentary,7.8,N/A,2h 7min,Don Argott,2022
All My Friends Hate Me,"Mystery & Thriller, Horror, Comedy",6.3,R,1h 33min,N/A,2022
Gaia,"Fantasy, Horror, Drama",5.6,R,1h 37min,Jaco Bouwer,2021
Baggage Claim,"Comedy, Romance",5.1,PG-13,1h 36min,David E. Talbert,2013
Steve Jobs: The Man in the Machine,Documentary,6.9,R,2h 9min,Alex Gibney,2015
Sleepwalker,"Mystery & Thriller, Made in Europe",5.2,N/A,1h 28min,Elliott Lester,2017
Rodeo and Juliet,"Kids & Family, Romance, Drama",4.7,N/A,1h 28min,Thadd Turner,2015
Lantern's Lane,"Comedy, Horror, Mystery & Thriller",3.2,N/A,1h 35min,Justin LaReau,2021
India Sweets and Spices,"Comedy, Drama",6.1,PG-13,1h 41min,Geeta Malik,2021
Sputnik,"Drama, Horror, Science-Fiction, Mystery & Thriller",6.4,R,1h 53min,Egor Abramenko,2020
Whose Streets?,Documentary,5.5,R,1h 30min,Sabaah Folayan,2017
Ballet Now,Documentary,7.3,N/A,1h 14min,Steven Cantor,2018
Small Engine Repair,"Comedy, Drama, Mystery & Thriller",6.5,R,1h 42min,John Pollono,2021
Wish Upon,"Mystery & Thriller, Fantasy, Horror, Drama",5.0,PG-13,1h 30min,Laurie Karp,2017
The March Sisters at Christmas,"Comedy, Kids & Family, Romance",5.4,N/A,1h 30min,John Stimpson,2014
The United States vs. Billie Holiday,"Drama, Music & Musical",6.3,R,2h 11min,Lee Daniels,2021
Skyfire,"Action & Adventure, Drama, Mystery & Thriller",5.2,PG-13,1h 37min,Simon West,2019
Amira & Sam,"Romance, Drama, Comedy",6.1,N/A,1h 28min,Sean Mullin,2014
The Honeymoon,Comedy,4.1,R,1h 37min,Dean Craig,2022
All That We Destroy,Horror,N/A,N/A,1h 25min,Chelsea Stardust,2019
For Madmen Only: The Stories of Del Close,Documentary,6.9,R,1h 30min,Heather Ross,2020
Free Fall,"Drama, Made in Europe, Romance",7.5,N/A,1h 40min,Stephan Lacant,2013
False Positive,"Mystery & Thriller, Horror",4.7,R,1h 33min,John Lee,2021
Everybody Loves Somebody,"Comedy, Romance",6.4,PG-13,1h 42min,Catalina Aguilar Mastretta,2017
The Amazing Johnathan Documentary,"Comedy, Documentary",6.5,N/A,1h 34min,Ben Berman,2019
Milkwater,"Comedy, Drama",N/A,N/A,1h 42min,Morgan Ingari,2020
Steven Universe: The Movie,"Science-Fiction, Action & Adventure, Mystery & Thriller, Animation, Comedy, Kids & Family, Fantasy, Drama",7.7,N/A,1h 22min,Rebecca Sugar,2019
The Year of the Everlasting Storm,"Mystery & Thriller, Drama",5.8,N/A,1h 55min,David Lowery,2021
The Woman in Black 2: Angel of Death,"Mystery & Thriller, Horror, Drama",4.8,PG-13,1h 38min,Tom Harper,2014
Save Yourselves!,"Comedy, Science-Fiction",5.8,R,1h 33min,Alex Huston Fischer,2020
Bad Luck Banging or Loony Porn,"Comedy, Drama",6.5,N/A,1h 46min,Radu Jude,2021
"20,000 Days on Earth","Drama, Documentary, Music & Musical",7.4,N/A,1h 37min,Iain Forsyth,2014
Beans,Drama,6.9,N/A,1h 32min,Tracey Deer,2021
CHiPS,"Comedy, Action & Adventure, Crime",6.0,R,1h 40min,Dax Shepard,2017
The Marijuana Conspiracy,Drama,5.6,N/A,2h 4min,N/A,2021
Silk Road,"Crime, Drama, Mystery & Thriller",6.0,R,1h 52min,Tiller Russell,2021
Shortcut,"Action & Adventure, Fantasy, Horror, Made in Europe",4.1,R,1h 20min,Alessio Liguori,2020
Ghost Team,"Comedy, Horror, Mystery & Thriller",4.8,PG-13,1h 23min,Oliver Irving,2016
Escape from Pretoria,"Mystery & Thriller, Drama, Crime",6.8,PG-13,1h 42min,Francis Annan,2020
The Reef: Stalked,"Mystery & Thriller, Horror",4.2,N/A,1h 33min,Andrew Traucki,2022
We Need to Do Something,"Mystery & Thriller, Horror",4.5,N/A,1h 37min,Sean King O'Grady,2021
Kindred,"Drama, Mystery & Thriller, Horror",5.0,N/A,1h 41min,Joe Marcantonio,2020
Love Sarah,"Drama, Romance, Comedy",6.1,N/A,1h 37min,Eliza Schroeder,2020
Margaret Atwood: A Word After a Word After a Word Is Power,Documentary,7.5,N/A,1h 34min,Peter Raymont,2019
The Emoji Story,"Documentary, Comedy",5.8,PG,1h 21min,Martha Shane,2020
Fate of a Sport,"Documentary, Sport",8.9,N/A,1h 40min,Michael Doneger,2022
After Everything,"Drama, Comedy, Romance",6.4,N/A,1h 35min,Hannah Marks,2018
Mandibles,"Comedy, Fantasy, Made in Europe",6.6,N/A,1h 17min,Quentin Dupieux,2021
Zappa,"Documentary, Music & Musical",N/A,N/A,2h 9min,Alex Winter,2020
The Good Traitor,"Drama, War & Military, Made in Europe",6.4,N/A,1h 56min,Christina Rosendahl,2020
The Mole Agent,Documentary,7.5,N/A,1h 29min,Maite Alberdi,2020
Captains of Za'atari,"Documentary, Sport",6.7,N/A,1h 13min,Ali El Arabi,2021
Nymphomaniac: The Director's Cut Volume II,Drama,N/A,N/A,3h 0min,N/A,2014
Along Came the Devil,"Mystery & Thriller, Horror, Drama",4.1,N/A,1h 29min,N/A,2018
The East,"Drama, Mystery & Thriller, War & Military, History",6.9,N/A,2h 17min,Jim Taihuttu,2021
Fireheart,"Kids & Family, Animation, Comedy",6.2,N/A,1h 32min,Laurent Zeitoun,2022
Stalker,"Mystery & Thriller, Horror",5.6,N/A,1h 26min,N/A,2020
Chasing Trane,"Music & Musical, Documentary",7.3,N/A,1h 39min,John Scheinfeld,2017
"New Year, New You",Horror,N/A,N/A,1h 25min,Sophia Takal,2018
Trigger Point,"Mystery & Thriller, Action & Adventure",5.0,N/A,1h 22min,Brad Turner,2021
Fear of Rain,"Horror, Drama, Mystery & Thriller",5.9,PG-13,1h 32min,Castille Landon,2021
Burn,"Mystery & Thriller, Comedy, Crime",5.7,R,1h 29min,Mike Gan,2019
Tesla,Drama,5.1,PG-13,1h 42min,Michael Almereyda,2020
After Midnight,"Drama, Horror, Romance, Science-Fiction",5.3,N/A,1h 23min,Christian Stella,2019
R100,"Comedy, Drama",6.0,N/A,1h 40min,Hitoshi Matsumoto,2013
Merry Kissmas,"Drama, Comedy, Romance",5.3,N/A,1h 29min,Michael Feifer,2015
Under the Christmas Tree,"Romance, Drama",5.7,N/A,1h 24min,Lisa Rose Snow,2021
The Assistant,Drama,6.4,R,1h 28min,Kitty Green,2020
A Merry Friggin' Christmas,"Comedy, Drama",5.2,PG-13,1h 28min,Tristram Shapeero,2014
Minding the Gap,"Documentary, Sport",8.0,N/A,1h 33min,Liu Bing,2018
Intrigo: Samaria,"Crime, Mystery & Thriller, Drama",5.5,R,1h 44min,Daniel Alfredson,2019
Saving Christmas,"Comedy, Kids & Family",1.3,PG,1h 19min,Darren Doane,2014
Ailey,"Documentary, History, Music & Musical",6.7,PG-13,1h 34min,Jamila Wignot,2021
A Puppy for Christmas,"Kids & Family, Romance, Comedy, Drama",5.9,N/A,1h 25min,Justin G. Dyck,2016
Born a Champion,"Action & Adventure, Drama, Sport",6.8,R,1h 51min,Alex Ranarivelo,2021
Little Monsters,"Comedy, Horror, Science-Fiction",6.3,R,1h 34min,Abe Forsythe,2019
Supernova,"Drama, Music & Musical, Romance",6.9,N/A,1h 34min,Harry Macqueen,2020
Hooking Up,"Drama, Comedy",5.6,R,1h 45min,N/A,2020
The Ultimate Playlist of Noise,"Drama, Music & Musical, Comedy",6.6,N/A,1h 39min,Bennett Lasseter,2021
The Loneliest Whale: The Search for 52,Documentary,6.5,PG,1h 36min,Joshua Zeman,2021
Darby and the Dead,"Fantasy, Comedy, Drama, Horror",5.6,PG-13,1h 40min,Silas Howard,2022
Curious George: Royal Monkey,"Kids & Family, Animation, Action & Adventure, Comedy",5.3,G,1h 27min,Doug Murphy,2019
Edge of the World,Drama,5.3,PG-13,1h 44min,Michael Haussman,2021
Fantastica: A Boonie Bears Adventure,"Action & Adventure, Animation, Fantasy, Comedy, Kids & Family",5.6,G,1h 23min,Liang Ding,2017
New Year's Eve,Comedy,5.8,R,2h 22min,Ozan Açıktan,2022
Gunda,Documentary,7.1,PG,1h 33min,Viktor Kossakovsky,2021
Oscar Peterson: Black + White,Documentary,7.0,PG,1h 21min,Barry Avrich,2021
Scotty and the Secret History of Hollywood,"Documentary, History",6.7,N/A,1h 38min,Matt Tyrnauer,2018
Mother/Android,"Mystery & Thriller, Science-Fiction, Drama",4.9,R,1h 51min,Mattson Tomlin,2021
Waiting for the Barbarians,"Drama, Made in Europe",5.9,R,1h 54min,Ciro Guerra,2019
Dark Web: Cicada 3301,"Mystery & Thriller, Action & Adventure, Comedy",5.0,R,1h 44min,Alan Ritchson,2021
Together Together,"Comedy, Drama",6.4,R,1h 30min,Nikole Beckwith,2021
Flagged,Horror,N/A,N/A,7min,Chelsea Lupkin,2019
The Beta Test,"Mystery & Thriller, Horror, Comedy, Drama",6.1,N/A,1h 33min,Jim Cummings,2021
Whitney,Drama,5.0,PG-13,1h 25min,Angela Bassett,2015
Tiny Shoulders: Rethinking Barbie,Documentary,6.7,N/A,1h 31min,N/A,2018
The Expendables 3,"Mystery & Thriller, Action & Adventure",6.1,PG-13,2h 6min,Patrick Hughes,2014
Take Out Girl,"Drama, Mystery & Thriller",5.5,N/A,1h 40min,Hisonni Johnson,2020
Buffaloed,"Drama, Comedy",6.2,N/A,1h 35min,Tanya Wexler,2020
Sea Fever,"Horror, Drama, Science-Fiction, Mystery & Thriller, Made in Europe",5.7,N/A,1h 35min,Neasa Hardiman,2020
The Resort,Horror,3.1,N/A,1h 15min,Taylor Chien,2021
A Field in England,"Comedy, Drama, Horror, Mystery & Thriller, History",6.2,N/A,1h 30min,Ben Wheatley,2013
A Christmas Kiss II,"Romance, Comedy",6.0,N/A,1h 30min,Kevin Conner,2014
Darker Than Night,"Mystery & Thriller, Horror",4.2,R,1h 40min,Henry Bedwell,2014
The Unicorn,Comedy,5.2,N/A,1h 28min,Robert Schwartzman,2019
Sex Appeal,"Romance, Drama, Comedy",5.3,N/A,1h 30min,Talia Osteen,2022
I Feel Pretty,"Comedy, Romance",5.6,PG-13,1h 50min,Marc Silverstein,2018
Astro Kid,"Comedy, Kids & Family, Science-Fiction, Animation, Made in Europe",6.6,PG,1h 30min,Eric Tosti,2019
Running with the Devil,"Drama, Mystery & Thriller, Crime, Action & Adventure",5.4,R,1h 40min,Jason Cabell,2019
