Title,netflix_genre,Imdb,Age_ratings,Runtime,Year,Director
All Day and a Night,Drama,6.0,R,2h 1min,2020,Joe Robert Cole
The Elephant Whisperers,Documentary,N/A,N/A,40min,2022,Kartiki Gonsalves
Get Smart With Money,Documentary,N/A,PG,1h 33min,2022,Stephanie Soechtig
The Darkness,"Mystery & Thriller, Horror",4.5,PG-13,1h 32min,2016,Greg McLean
Animal Crackers,"Comedy, Animation, Action & Adventure, Kids & Family, Fantasy",5.8,PG,1h 45min,2017,Tony Bancroft
Civil: Ben Crump,Documentary,5.9,PG-13,1h 41min,2022,Nadia Hallgren
"Monica, O My Darling","Comedy, Drama, Mystery & Thriller, Crime",7.4,N/A,2h 9min,2022,Vasan Bala
The 101-Year-Old Man Who Skipped Out on the Bill and Disappeared,"Comedy, Crime, Made in Europe",6.3,N/A,1h 48min,2016,Måns Herngren
Into the Deep: The Submarine Murder Case,Crime,N/A,N/A,1h 27min,2020,Emma Sullivan
Freaks – You're One of Us,"Drama, Fantasy, Mystery & Thriller, Science-Fiction, Action & Adventure",5.4,NC-17,1h 33min,2020,Felix Binder
Live Is Life,"Comedy, Action & Adventure, Drama",6.3,N/A,1h 50min,2022,Dani de la Torre
Under the Amalfi Sun,"Comedy, Romance, Drama",5.3,PG-13,1h 30min,2022,Martina Pastori
Lilli,"Drama, Mystery & Thriller",5.7,PG,1h 31min,2018,Prasobh VIjayan
Escape the Undertaker,"Mystery & Thriller, Horror, Comedy",4.2,N/A,31min,2021,Ben Simms
Super Me,"Fantasy, Drama, Science-Fiction",5.8,N/A,1h 42min,2019,Zhang Chong
Camp Confidential: America's Secret Nazis,"Documentary, Animation, History",6.3,PG-13,34min,2021,Daniel Sivan
Jurassic World Camp Cretaceous: Hidden Adventure,"Action & Adventure, Animation",N/A,PG,32min,2022,Leah Artwick
Laal Singh Chaddha,"Romance, Comedy, Drama, War & Military, Kids & Family",5.5,PG-13,2h 37min,2022,N/A
Viking Wolf,"Horror, Mystery & Thriller",5.2,N/A,1h 37min,2022,Stig Svendsen
Fatal Affair,"Mystery & Thriller, Crime, Drama",4.6,N/A,1h 29min,2020,Peter Sullivan
If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,"Music & Musical, Documentary",7.9,N/A,1h 35min,2018,Stephen Kijak
Mars One,Drama,7.4,N/A,1h 55min,2022,Gabriel Martins
Gabriel Iglesias: Stadium Fluffy,"Comedy, Documentary",7.1,N/A,1h 55min,2022,Manny Rodriguez
A Call to Spy,"Crime, Drama, Mystery & Thriller, War & Military",6.6,PG-13,2h 3min,2019,Lydia Dean Pilcher
The Figo Affair: The Transfer That Changed Football,"Documentary, Sport",7.1,N/A,1h 45min,2022,David Tryhorn
Sarah Cooper: Everything's Fine,Comedy,5.5,N/A,49min,2020,Natasha Lyonne
Magic Mike XXL,"Comedy, Drama, Music & Musical",5.6,R,1h 55min,2015,Gregory Jacobs
JJ+E,"Drama, Romance",5.3,N/A,1h 30min,2021,N/A
Milestone,Drama,6.6,N/A,1h 38min,2020,Ivan Ayr
7 Yards: The Chris Norton Story,Documentary,7.8,N/A,1h 33min,2021,Jonathon Link
Hotel Transylvania 2,"Comedy, Kids & Family, Animation, Fantasy, Romance, Action & Adventure, Drama, Horror, Music & Musical",6.6,PG,1h 29min,2015,Genndy Tartakovsky
Jobs,"Drama, Documentary",6.0,PG-13,2h 9min,2013,Joshua Michael Stern
Who's a Good Boy?,Comedy,4.6,R,1h 35min,2022,Ihtzi Hurtado
Shiny_Flakes: The Teenage Drug Lord,"Crime, Documentary",7.3,N/A,1h 36min,2021,Eva Müller
Grudge,"Mystery & Thriller, Drama, Crime",5.5,N/A,1h 44min,2021,Türkan Derya
Kaapa,"Action & Adventure, Drama",N/A,N/A,2h 13min,2022,Shaji Kailas
Trolls,"Comedy, Romance, Animation, Kids & Family, Fantasy",6.4,PG,1h 32min,2016,Mike Mitchell
Rise of the Teenage Mutant Ninja Turtles: The Movie,"Fantasy, Science-Fiction, Animation, Action & Adventure, Comedy, Drama, Kids & Family",6.0,N/A,1h 22min,2022,Andy Suriano
Operation Christmas Drop,"Comedy, Kids & Family, Romance",5.8,N/A,1h 35min,2020,Martin Wood
Critical Thinking,Drama,6.5,N/A,1h 57min,2020,John Leguizamo
Lords of Scam,"Documentary, Crime",6.3,R,1h 45min,2021,Guillaume Nicloux
Beauty,"Drama, Romance",4.1,R,1h 35min,2022,Andrew Dosunmu
Pete Davidson Presents: The Best Friends,"Comedy, Documentary",4.8,PG-13,58min,2022,Jason Orley
My Father's Violin,Drama,6.4,N/A,1h 52min,2022,Andaç Haznedaroğlu
Nothing to Hide,"Drama, Comedy, Made in Europe",6.8,N/A,1h 30min,2018,Fred Cavayé
Lesson Plan,"Action & Adventure, Crime, Drama",5.0,N/A,1h 41min,2022,Daniel Markowicz
The Wait,Drama,6.3,N/A,2h 2min,2021,Fiyin Gambo
Count Me In,"Documentary, Music & Musical",6.8,N/A,1h 21min,2021,Mark Lo
40 Sticks,Mystery & Thriller,5.5,N/A,1h 33min,2020,Victor Gatonye
Anthony Jeselnik: Fire in the Maternity Ward,Comedy,7.2,N/A,1h 4min,2019,Marcus Raboy
Definition Please,"Drama, Comedy",5.5,N/A,1h 31min,2022,Sujata Day
Street Flow,"Drama, Crime",6.4,N/A,1h 35min,2019,Leila Sy
Godspeed,Drama,6.5,N/A,1h 59min,2022,Mehmet Ada Öztekin
BLACKPINK: Light Up the Sky,"Documentary, Music & Musical",7.3,PG-13,1h 19min,2020,Caroline Suh
The Christmas Chronicles,"Comedy, Kids & Family, Fantasy",7.0,PG,1h 43min,2018,Clay Kaytis
Thallumaala,"Drama, Action & Adventure, Comedy",7.0,N/A,2h 26min,2022,Khalid Rahman
Can You Keep a Secret?,"Comedy, Romance",5.3,N/A,1h 35min,2019,Elise Duran
"Rob Schneider: Asian Momma, Mexican Kids",Comedy,5.5,N/A,44min,2020,Tyler Spindel
Wedding Season,"Comedy, Romance",6.3,N/A,1h 38min,2022,Tom Dey
The Claus Family,"Comedy, Kids & Family, Fantasy",5.5,N/A,1h 36min,2020,Matthias Temmermans
Downfall: The Case Against Boeing,Documentary,7.4,R,1h 29min,2022,Rory Kennedy
The Best of Netflix Is a Joke: The Festival,Comedy,N/A,R,54min,2022,N/A
Skater Girl,"Drama, Kids & Family, Sport",6.6,PG,1h 47min,2021,Manjari Makijany
Copenhagen,"Drama, Romance",7.0,N/A,1h 38min,2014,Mark Raso
Hostage House,Mystery & Thriller,3.9,N/A,1h 30min,2021,David Benullo
The Babysitter: Killer Queen,"Comedy, Horror",5.8,R,1h 41min,2020,McG
Radhe Shyam,"Drama, Romance",5.3,N/A,2h 18min,2022,Radha Krishna Kumar
Silverton Siege,"Crime, Drama, Mystery & Thriller, Action & Adventure",6.3,PG-13,1h 40min,2022,"Mandlakayise Walter Dube, Jr."
Rurouni Kenshin: The Final,"Drama, History, Action & Adventure",7.2,PG-13,2h 18min,2021,Keishi Ōtomo
Jenny Slate: Stage Fright,"Comedy, Reality TV",5.8,N/A,1h 6min,2019,Gillian Robespierre
Mirai,"Drama, Animation, Kids & Family, Fantasy",7.0,PG,1h 38min,2018,Mamoru Hosoda
Showtime 1958,"Drama, Kids & Family",6.3,N/A,1h 50min,2022,Anwardi Jamil
Whipped,"Drama, Comedy, Romance",4.1,N/A,1h 37min,2020,Chandra Liow
The Entitled,"Comedy, Drama, Romance",4.6,R,1h 30min,2022,Theodore Boborol
Beyond the Lights,"Drama, Music & Musical, Romance",6.8,PG-13,1h 56min,2014,Gina Prince-Bythewood
11M: Terror in Madrid,Documentary,6.9,N/A,1h 32min,2022,José Gómez
Don't Blame Karma!,"Comedy, Romance",4.7,N/A,1h 25min,2022,Elisa Miller
Birth Reborn,"Documentary, History, Kids & Family",7.7,N/A,1h 31min,2013,Eduardo Chauvet
Don't Kill Me,"Horror, Romance, Fantasy",4.3,N/A,1h 30min,2021,Andrea De Sica
The 8th Night,"Mystery & Thriller, Horror",5.3,N/A,1h 55min,2021,Kim Tae-hyoung
Today We Fix the World,"Comedy, Drama",6.2,N/A,1h 53min,2022,Ariel Winograd
Father Stu,Drama,6.5,PG-13,2h 4min,2022,Rosalind Ross
The Father Who Moves Mountains,"Mystery & Thriller, Drama",5.5,PG-13,1h 48min,2021,Daniel Sandu
The Claus Family 2,"Kids & Family, Comedy, Fantasy",5.5,N/A,1h 38min,2021,Ruben Vandenborre
The Discovery,"Mystery & Thriller, Drama, Romance, Science-Fiction",6.2,N/A,1h 42min,2017,Charlie McDowell
Lost Bullet,"Mystery & Thriller, Crime, Action & Adventure",6.3,N/A,1h 33min,2020,Guillaume Pierret
Pihu,"Mystery & Thriller, Drama, Kids & Family",6.7,G,1h 31min,2018,Vinod Kapri
Who Killed Santa? A Murderville Murder Mystery,"Comedy, Crime",6.5,R,53min,2022,Laura Murphy
Dance of the Forty One,"Drama, History",6.8,N/A,1h 39min,2020,David Pablos
The Forest of Love,"Mystery & Thriller, Crime, Drama, Horror",6.3,N/A,2h 31min,2019,Sion Sono
Whitney Cummings: Jokes,Comedy,5.6,N/A,59min,2022,Marcus Raboy
"...Watch Out, We're Mad","Action & Adventure, Western, Comedy",3.1,N/A,1h 30min,2022,Niccolò Celaia
The Raid 2,"Mystery & Thriller, Crime, Action & Adventure",7.9,R,2h 30min,2014,Gareth Evans
The Dreamlife of Georgie Stone,Documentary,N/A,PG,30min,2022,Maya Newell
Guest House,Comedy,4.4,R,1h 24min,2020,Sam Macaroni
Sleight,"Science-Fiction, Action & Adventure, Mystery & Thriller, Crime, Drama",5.9,R,1h 29min,2016,J.D. Dillard
The Taming of the Shrewd,"Comedy, Drama, Romance",4.5,N/A,1h 52min,2022,Anna Wieczur-Bluszcz
Neal Brennan: Blocks,"Comedy, Documentary",7.7,N/A,1h 2min,2022,Derek DelGaudio
Love Today,"Comedy, Romance, Drama",8.1,N/A,2h 34min,2022,Pradeep Ranganathan
Jewel,Drama,3.7,R,1h 20min,2022,Adze Ugah
A 3 Minute Hug,Documentary,N/A,N/A,28min,2018,Everardo González
Bartkowiak,"Action & Adventure, Mystery & Thriller, Crime, Sport",5.1,N/A,1h 31min,2021,Daniel Markowicz
Hellhole,"Drama, Made in Europe",5.3,N/A,1h 38min,2019,Bas Devos
The Festival of Troubadours,Drama,N/A,R,1h 42min,2022,Özcan Alper
Rumspringa,"Comedy, Drama, Romance",4.7,N/A,1h 42min,2022,Mira Thiel
To All the Boys: Always and Forever,"Drama, Comedy, Romance",6.3,PG-13,1h 55min,2021,Michael Fimognari
Belleville Cop,"Comedy, Crime, Made in Europe",5.0,N/A,1h 50min,2018,Rachid Bouchareb
Biggie: I Got a Story to Tell,"Documentary, Music & Musical",6.8,R,1h 37min,2021,Emmett Malloy
Good Game: The Beginning,"Comedy, Sport, Drama",4.5,PG-13,1h 44min,2018,Umut Aral
Ek Villain Returns,"Action & Adventure, Mystery & Thriller, Crime, Romance",4.4,N/A,2h 7min,2022,Mohit Suri
The Masked Scammer,"Crime, Documentary",6.2,R,1h 30min,2022,Yvann Yagchi
Neon Lights,"Horror, Mystery & Thriller",4.4,R,1h 30min,2022,N/A
His House,"Horror, Mystery & Thriller, Drama",6.5,N/A,1h 33min,2020,Remi Weekes
All My Friends Are Dead,"Comedy, Drama, Mystery & Thriller, Crime, Horror",5.8,N/A,1h 35min,2020,Jan Belcl
El Camino: A Breaking Bad Movie,"Mystery & Thriller, Drama, Action & Adventure, Crime",7.3,R,2h 3min,2019,Vince Gilligan
Free to Play,"Documentary, Action & Adventure",7.6,N/A,1h 15min,2014,Valve Company
The Royal Treatment,"Romance, Comedy, Kids & Family",5.2,N/A,1h 36min,2022,Rick Jacobson
Cyber Hell: Exposing an Internet Horror,"Documentary, Crime",6.5,N/A,1h 45min,2022,Choi Jin-sung
Trees of Peace,Drama,6.5,NC-17,1h 37min,2021,Alanna Brown
Tattoo of Revenge,"Mystery & Thriller, Comedy, Romance",5.0,R,2h 30min,2018,Julián Hernández
Spiderhead,"Mystery & Thriller, Action & Adventure, Crime, Drama, Science-Fiction",5.4,R,1h 46min,2022,Joseph Kosinski
ReMastered: The Miami Showband Massacre,"Documentary, Crime, Music & Musical",7.0,N/A,1h 10min,2019,Stuart Sender
God's Crooked Lines,"Drama, Mystery & Thriller",7.0,N/A,2h 35min,2022,Oriol Paulo
Mousa,"Science-Fiction, Action & Adventure, Drama",6.0,N/A,1h 41min,2021,Peter Mimi
Scrooge: A Christmas Carol,"Animation, Comedy, Drama, Kids & Family, Fantasy",6.2,N/A,1h 36min,2022,Stephen Donnelly
Manmadhudu 2,"Romance, Comedy, Drama",4.8,N/A,2h 35min,2019,Rahul Ravindran
Double World,"Fantasy, Action & Adventure",6.2,PG-13,1h 50min,2020,Teddy Chan
Hard Kill,"Action & Adventure, Mystery & Thriller",3.0,R,1h 38min,2020,Matt Eskandari
Brave Blue World,Documentary,6.7,N/A,50min,2020,Tim Neeves
Petta,"Drama, Action & Adventure",7.3,N/A,2h 52min,2019,Karthik Subbaraj
Marilyn's Eyes,"Comedy, Drama",6.6,N/A,1h 50min,2021,Simone Godano
Dhokha: Round D Corner,"Mystery & Thriller, Crime, Drama, Comedy",6.3,N/A,1h 48min,2022,Kookie Gulati
Adam Devine: Best Time of Our Lives,Comedy,5.9,PG-13,58min,2019,Jay Karas
Brahms: The Boy II,"Mystery & Thriller, Horror, Drama",4.7,PG-13,1h 26min,2020,William Brent Bell
First Match,"Drama, Sport",6.4,N/A,1h 42min,2018,Olivia Newman
Mrs. Serial Killer,"Mystery & Thriller, Drama, Crime",4.1,N/A,1h 48min,2020,Shirish Kunder
Iliza Shlesinger: Hot Forever,"Comedy, Documentary",6.6,R,1h 8min,2022,Steve Paley
Togo,"Drama, Mystery & Thriller, Crime",5.3,N/A,1h 35min,2022,Adrián Caetano
Look Both Ways,"Drama, Comedy, Romance, Fantasy",6.3,PG-13,1h 50min,2022,Wanuri Kahiu
Kitty Love: An Homage to Cats,"Documentary, Made in Europe",5.1,N/A,1h 0min,2020,Mark Verkerk
The Next 365 Days,"Drama, Romance",2.7,R,1h 52min,2022,Tomasz Mandes
Stuck with You,"Romance, Comedy",5.4,R,59min,2022,Frank Bellocq
Ferry,"Action & Adventure, Crime, Drama, Mystery & Thriller",7.0,N/A,1h 46min,2021,Cecilia Verheyden
Jo Koy: Live from the Los Angeles Forum,Comedy,7.2,N/A,1h 14min,2022,Shannon Hartman
Becoming,Documentary,7.0,PG,1h 29min,2020,Nadia Hallgren
AI Love You,"Science-Fiction, Drama, Romance",4.5,PG-13,1h 35min,2022,Stephan Zlotescu
The Best Man Holiday,"Comedy, Drama",6.6,R,2h 3min,2013,Malcolm D. Lee
Apollo 10½:  A Space Age Childhood,"Comedy, Animation, Drama, Kids & Family, Romance, Science-Fiction, Action & Adventure, History, Horror",7.2,PG-13,1h 38min,2022,Richard Linklater
Homunculus,"Drama, Mystery & Thriller, Fantasy",5.5,N/A,1h 59min,2021,Takashi Shimizu
20th Century Girl,"Drama, Romance",7.3,N/A,1h 59min,2022,Bang Woo-ri
Confessions of an Invisible Girl,"Drama, Comedy",5.2,N/A,1h 31min,2021,Bruno Garotti
Kevin Hart: Zero F**ks Given,Comedy,6.1,R,1h 9min,2020,Leslie Small
Hunt for the Wilderpeople,"Comedy, Drama",7.8,PG-13,1h 41min,2016,Taika Waititi
Okja,"Drama, Action & Adventure, Science-Fiction",7.3,PG-13,2h 2min,2017,Bong Joon-ho
The Swarm,"Horror, Fantasy, Drama, Made in Europe",5.3,N/A,1h 41min,2020,Just Philippot
"Out of Many, One",Documentary,N/A,N/A,35min,2018,John Hoffman
Mucho Mucho Amor: The Legend of Walter Mercado,Documentary,7.3,N/A,1h 36min,2020,Cristina Costantini
Dolly Parton: Here I Am,"Documentary, Music & Musical",7.3,N/A,1h 30min,2019,Francis Whately
Monty Python: The Meaning of Live,"Documentary, Comedy",7.6,N/A,1h 36min,2014,Roger Graef
Love Wedding Repeat,"Comedy, Romance",5.5,N/A,1h 40min,2020,Dean Craig
The Assistant,"Mystery & Thriller, Action & Adventure, Crime",5.4,N/A,2h 4min,2022,Adrian Teh
Stealing Raden Saleh,"Crime, Drama, Action & Adventure",7.3,N/A,2h 34min,2022,Angga Dwimas Sasongko
Anelka: Misunderstood,"Documentary, Sport",6.4,N/A,1h 34min,2020,Frank Nataf
Marc Maron: End Times Fun,"Comedy, Documentary",6.8,N/A,1h 11min,2020,Lynn Shelton
Christmas Full of Grace,"Comedy, Romance",4.4,R,1h 44min,2022,Pedro Antônio
"Crack: Cocaine, Corruption & Conspiracy","Documentary, Crime, History",6.7,N/A,1h 29min,2021,Stanley Nelson
David and the Elves,"Fantasy, Kids & Family, Comedy",5.2,N/A,1h 46min,2021,Michał Rogalski
ReMastered: Massacre at the Stadium,"Documentary, Drama",7.3,N/A,1h 4min,2019,Bent-Jorgen Perlmutt
Amina,"Drama, History, Action & Adventure",4.0,PG-13,2h 0min,2021,Izu Ojukwu
"Ray Romano: Right Here, Around the Corner","Comedy, Documentary",7.2,N/A,58min,2019,Michael Showalter
Jeff Garlin: Our Man in Chicago,Comedy,5.9,N/A,58min,2019,Christopher Storer
Chickenhare and the Hamster of Darkness,"Romance, Animation, Comedy, Kids & Family, Fantasy, Action & Adventure",6.3,N/A,1h 31min,2022,Benjamin Mousquet
The Last Dolphin King,Documentary,5.6,R,1h 33min,2022,Ernest Riera
Dobaaraa,"Drama, Fantasy, Mystery & Thriller, Science-Fiction",4.6,N/A,2h 12min,2022,Anurag Kashyap
Rakkhosh,Horror,4.7,N/A,1h 53min,2019,Srivinay Salian
A Trip to Infinity,Documentary,6.9,PG,1h 19min,2022,Drew Takahashi
"Norm Macdonald: Hitler's Dog, Gossip & Trickery","Comedy, Documentary",7.4,N/A,1h 0min,2017,Liz Plonka
The Takeover,"Crime, Action & Adventure, Mystery & Thriller",5.3,N/A,1h 27min,2022,Annemarie van de Mond
The 2nd,"Action & Adventure, Drama",3.8,N/A,1h 33min,2020,Brian Skiba
The Violence Action,"Action & Adventure, Drama",4.6,N/A,1h 51min,2022,N/A
Jim Jefferies: Intolerant,Comedy,7.2,N/A,1h 6min,2020,Scott Zabielski
Afterlife of the Party,"Fantasy, Comedy, Drama, Romance",5.8,N/A,1h 49min,2021,Stephen Herek
The Shadow,"Horror, Drama",N/A,N/A,15min,2019,Nayla Al Khaja
Jo Koy: Comin’ In Hot,Comedy,7.4,N/A,1h 0min,2019,Shannon Hartman
Work It,"Comedy, Music & Musical",6.1,PG-13,1h 33min,2020,Laura Terruso
Nate Bargatze: The Tennessee Kid,Comedy,7.6,N/A,1h 0min,2019,Ryan Polito
"Strip Down, Rise Up",Documentary,5.4,R,1h 52min,2021,Michèle Ohayon
Without Saying Goodbye,"Romance, Comedy",5.8,N/A,1h 36min,2022,Bruno Ascenzo
Hannah Gadsby: Douglas,Comedy,N/A,N/A,1h 12min,2020,Madeleine Parry
UFO,"Drama, Romance, Documentary",4.8,N/A,1h 49min,2022,Onur Bilgetay
Words Bubble Up Like Soda Pop,"Animation, Drama",N/A,PG,1h 27min,2021,Kyohei Ishiguro
Secrets of the Saqqara Tomb,"Documentary, History",7.2,N/A,1h 54min,2020,James Tovell
Red Snow,Drama,4.7,N/A,1h 40min,2019,Marie Clements
The Fisherman's Diary,Drama,6.4,N/A,2h 23min,2020,Enah Johnscott
Closet Monster,"Drama, Fantasy",7.0,N/A,1h 30min,2016,Stephen Dunn
Mike Birbiglia: The New One,Comedy,7.7,N/A,1h 25min,2019,Seth Barrish
The Whole Truth,"Drama, Horror, Mystery & Thriller",5.2,R,2h 5min,2021,Wisit Sasanatieng
The Silence of the Marsh,"Mystery & Thriller, Made in Europe",N/A,N/A,1h 32min,2019,Marc Vigil
Skemerson,Drama,6.7,N/A,1h 27min,2019,N/A
Bert Kreischer: Secret Time,"Comedy, Documentary",7.3,N/A,57min,2018,Todd Biermann
Tragic Jungle,"Drama, Mystery & Thriller",5.6,N/A,1h 36min,2020,Yulene Olaizola
Crimson Peak,"Horror, Drama, Romance, Mystery & Thriller, Fantasy",6.5,R,1h 59min,2015,Guillermo del Toro
GodFather,"Action & Adventure, Drama, Crime, Mystery & Thriller",5.2,N/A,2h 37min,2022,Mohan Raja
"Kalel, 15",Drama,7.1,N/A,1h 44min,2019,Jun Robles Lana
Stay on Board: The Leo Baker Story,"Documentary, Sport",6.7,N/A,1h 12min,2022,Nicola Marsh
If Anything Happens I Love You,Drama,N/A,PG,13min,2020,Michael Govier
Serious Men,"Drama, Comedy",6.8,N/A,1h 55min,2020,Sudhir Mishra
Anne+,"Drama, Romance",6.1,N/A,1h 34min,2021,Valerie Bisscheroux
A Boy Called Christmas,"Kids & Family, Fantasy, Drama",6.7,PG,1h 46min,2021,Gil Kenan
Frances Ha,"Comedy, Drama, Romance",7.4,R,1h 26min,2013,Noah Baumbach
The Catholic School,"Drama, Documentary",5.7,N/A,1h 47min,2021,Stefano Mordini
Finding Agnes,Drama,5.0,N/A,1h 45min,2020,Marla Ancheta
We Steal Secrets: The Story of WikiLeaks,Documentary,6.9,R,2h 7min,2013,Alex Gibney
The Decline,"Mystery & Thriller, Action & Adventure",6.0,R,1h 23min,2020,Patrice Laliberté
Uncorked,"Drama, Comedy",6.4,N/A,1h 44min,2020,Prentice Penny
Notes from Dunblane: Lessons from a School Shooting,Documentary,N/A,N/A,22min,2018,Kim A. Snyder
Boomika,"Horror, Mystery & Thriller",5.3,N/A,2h 2min,2021,R. Rathindran Prasad
The Weekend Away,"Mystery & Thriller, Crime, Drama",5.6,N/A,1h 30min,2022,Kim Farrant
The DUFF,"Romance, Comedy",6.4,PG-13,1h 40min,2015,Ari Sandel
"Ron White: If You Quit Listening, I'll Shut Up",Comedy,6.6,N/A,1h 3min,2018,Tom Forrest
After Maria,Documentary,N/A,N/A,36min,2019,Nadia Hallgren
Bird Box,"Mystery & Thriller, Drama, Science-Fiction, Horror",6.6,R,2h 3min,2018,Susanne Bier
PK,"Drama, Science-Fiction, Comedy, Romance, Fantasy",8.1,PG-13,2h 33min,2014,Rajkumar Hirani
Doctor G,"Drama, Comedy",6.7,PG-13,2h 4min,2022,Anubhuti Kashyap
Violet Evergarden: Recollections,"Drama, Romance, Fantasy",7.2,PG-13,1h 35min,2021,Taichi Ishidate
Rogue City,"Mystery & Thriller, Drama",N/A,PG-13,1h 56min,2020,Olivier Marchal
Bo Burnham: What.,"Comedy, Music & Musical, Documentary",8.3,N/A,1h 0min,2013,Christopher Storer
Feel the Beat,"Drama, Kids & Family, Comedy",6.3,G,1h 47min,2020,Elissa Down
"Costa Brava, Lebanon","Drama, Comedy",7.1,N/A,1h 46min,2022,Mounia Akl
A Cop Movie,"Drama, Documentary, Action & Adventure, Crime, Mystery & Thriller",7.0,R,1h 47min,2021,Alonso Ruizpalacios
Judd Apatow: The Return,Comedy,6.2,N/A,1h 9min,2017,Marcus Raboy
The Beginning of Life,"Documentary, Kids & Family",7.5,G,2h 0min,2016,Estela Renner
The Turning Point,"Drama, Crime",6.3,N/A,1h 30min,2021,Riccardo Antonaroli
Trollhunters: Rise of the Titans,"Animation, Action & Adventure, Comedy, Drama, Kids & Family, Fantasy",6.6,N/A,1h 44min,2021,Andrew L. Schmidt
Code Name: Tiranga,"Mystery & Thriller, Drama, Action & Adventure",3.1,N/A,2h 17min,2022,Ribhu Dasgupta
Katt Williams: World War III,Comedy,4.7,N/A,59min,2022,N/A
Texas Chainsaw Massacre,"Horror, Mystery & Thriller, Crime",4.7,R,1h 23min,2022,David Blue Garcia
I Used to Be Famous,"Comedy, Drama, Music & Musical",6.6,R,1h 44min,2022,Eddie Sternberg
Night in Paradise,"Drama, Mystery & Thriller, Action & Adventure, Crime",6.7,N/A,2h 11min,2020,Park Hoon-jung
Oh! Baby,"Fantasy, Drama",N/A,N/A,2h 41min,2019,B. V. Nandini Reddy
Go!,"Kids & Family, Sport",5.9,N/A,1h 50min,2020,Lankyboy
Malang,"Drama, Action & Adventure, Crime, Romance, Mystery & Thriller",6.5,N/A,2h 15min,2020,Mohit Suri
"Bikram: Yogi, Guru, Predator","Crime, Documentary",6.7,N/A,1h 26min,2019,Eva Orner
The Babysitter,"Comedy, Horror",6.4,R,1h 25min,2017,McG
99 Songs,"Romance, Music & Musical, Drama",6.5,N/A,2h 8min,2021,Vishwesh Krishnamoorthy
Monster,"Drama, Crime",6.5,R,1h 38min,2021,Anthony Mandler
American Woman,Drama,N/A,R,1h 25min,2019,Semi Chellas
Monster Hunter: Legends of the Guild,"Fantasy, Animation, Action & Adventure",N/A,PG-13,58min,2021,Steve Yamamoto
Rurouni Kenshin: The Beginning,"Drama, History, Romance, Action & Adventure",7.4,R,2h 18min,2021,Keishi Ōtomo
Headspace Unwind you Mind,"Animation, Documentary",7.2,G,15min,2021,N/A
Brian Regan: Nunchucks and Flamethrowers,"Comedy, Documentary",6.3,N/A,1h 1min,2017,Troy Miller
Ghosts of Sugar Land,Documentary,N/A,N/A,21min,2019,Bassam Tariq
Sr.,Documentary,7.3,R,1h 29min,2022,Chris Smith
The Letter Reader,Drama,N/A,N/A,30min,2019,Sibusiso Khuzwayo
Yeh Ballet,"Drama, Documentary",7.5,PG-13,1h 57min,2020,Sooni Taraporevala
The Marriage App,"Comedy, Romance",5.4,R,1h 41min,2022,Sebastián De Caro
Dancing Queens,"Comedy, Drama",5.7,N/A,1h 50min,2021,Helena Bergström
The Princess Switch: Switched Again,"Comedy, Kids & Family, Romance",N/A,G,1h 37min,2020,Mike Rohl
Seth Meyers: Lobby Baby,Comedy,7.5,N/A,1h 1min,2019,Neal Brennan
Nail Bomber: Manhunt,"Documentary, History, Crime",6.3,N/A,1h 12min,2021,Daniel Vernon
The Beguiled,"Drama, Documentary, Mystery & Thriller, War & Military",6.7,R,1h 34min,2017,Sofia Coppola
City of God: 10 Years Later,Documentary,6.4,PG,1h 9min,2013,Luciano Vidigal
Murder to Mercy - The Cyntoia Brown Story,Documentary,6.4,N/A,1h 36min,2020,Daniel H. Birman
Jim Gaffigan: Comedy Monster,Comedy,6.9,N/A,1h 10min,2021,Jim Gaffigan
Yaksha: Ruthless Operations,"Action & Adventure, Crime, Mystery & Thriller",6.2,N/A,2h 5min,2022,Na Hyun
Tyler Perry's A Madea Homecoming,"Comedy, Drama, Romance",5.6,R,1h 45min,2022,Tyler Perry
Dope,"Drama, Comedy, Action & Adventure, Crime, Made in Europe",7.2,R,1h 43min,2015,Rick Famuyiwa
Miss India,Drama,N/A,N/A,2h 16min,2020,Narendra Nath
Born Racer,"Action & Adventure, Documentary, Drama",6.2,R,1h 28min,2018,Bryn Evans
Altered Carbon: Resleeved,"Animation, Mystery & Thriller, Action & Adventure, Crime, Drama, Science-Fiction",6.5,N/A,1h 15min,2020,Yoshiyuki Okada
The House of Flowers: The Movie,"Drama, Comedy",5.6,R,1h 26min,2021,Manolo Caro
Late Life: The Chien-Ming Wang Story,"Documentary, Sport",7.1,N/A,1h 37min,2018,Frank W Chen
This Little Love of Mine,"Romance, Comedy",5.4,G,1h 31min,2021,Christine Luby
Christmas with You,"Comedy, Romance, Kids & Family",5.6,PG,1h 31min,2022,Gabriela Tagliavini
Who We Are: A Chronicle of Racism in America,Documentary,7.3,PG-13,1h 57min,2022,Sarah Kunstler
My Heroes Were Cowboys,Documentary,N/A,N/A,23min,2021,Tyler Greco
Dolly Parton's Christmas on the Square,"Comedy, Music & Musical, Kids & Family",5.2,PG,1h 38min,2020,Debbie Allen
Walk. Ride. Rodeo.,"Drama, Sport",6.4,N/A,1h 40min,2019,Conor Allyn
Gantz:O,"Action & Adventure, Animation, Science-Fiction, Drama, Fantasy, Mystery & Thriller, Horror",7.1,NC-17,1h 35min,2016,Keiichi Sato
